gene_name,Day 0,Day 5,Day 9,Day 12,Day 15
CHRNG,0.042228198,0.450448356,19.0633752,13.14720764,4.110944639
CHST6,0.350903518,0.592063253,1.059399137,1.069295015,0.142008115
CIB2,3.79483279,4.750369635,1.697175349,3.817170254,2.618530857
CLCN4,2.849509703,8.391462294,17.28301106,18.52260804,22.96080052
CLCN5,9.159141737,16.01462752,103.6474223,75.23675624,57.03875414
CLCNKA,0.831138169,1.975155911,4.559891526,2.563074278,0.445143901
CLCNKB,0.192359333,0.669830552,0.725475216,1.438113278,0.318102337
CLDN1,0.437097155,3.680909682,0.51385785,0.591575861,1.336501983
CLDN5,0.067116761,0.220404988,26.68330044,14.85000851,1.230891593
CLIC5,0.014497675,0.144067725,1.729880742,2.096303988,3.172643599
CNKSR2,1.489230263,1.08004711,1.54271007,1.334326107,0.392287869
CNTN1,0.088363204,0.109516817,0.118211429,2.643747688,2.540926924
COL10A1,4.93862256,7.001195158,4.504615974,25.06275676,47.18742426
COL13A1,11.70326463,42.00898523,64.30992638,113.5721715,50.17830035
COL14A1,238.1235302,14.97206446,144.2497831,299.5432417,455.509113
COL17A1,0.153633186,4.281156193,0.086618519,0.473614695,0
COL25A1,0.2198614,6.670791899,1.392719643,0.813691734,0.806193462
COL4A4,1.516400818,0.363658346,1.927262096,0.330612816,0.973868744
COL4A6,0.270511718,0.166753625,1.043437173,0.799856328,1.048025995
COL6A5,0,0.031271435,1.443036632,11.02421363,6.907420883
COL8A2,189.9781208,49.72595673,26.00289213,14.20032478,22.19197027
COLEC10,0.797584499,0.099703735,0.313632873,1.180361994,0.520016268
COLQ,3.73958824,2.8285981,23.46660877,14.92752818,6.780377157
COMP,177.7095307,132.4314185,26.09572166,21.10692039,52.01123591
COMT,186.9014402,141.8867558,136.7217906,157.7603454,140.8661238
CORIN,2.107444342,0.609333643,0.701620376,0.722697146,0.832020822
COX6A2,0,0,3.286212625,6.721604668,4.131467797
CPAMD8,1.257948357,0.708133298,1.641348786,1.25853559,0.54423624
CPLX1,0.052334986,0.365550143,0.756668288,1.035471993,0.91291695
CRYAB,61.90712224,35.7261657,54.8394915,81.26033335,204.9585816
CRYGS,2.008983202,2.0199285,1.750232418,2.933638279,2.229168398
CSGALNACT1,2.565153729,0.851658415,0.955172279,1.735714764,1.472275497
CSRP3,0,0,0.696074586,2.919060424,8.084807508
CUBN,9.848542218,9.062182283,7.762591618,19.85071458,18.32085384
CYP17A1,0,0.493712778,2.408997039,1.711410103,0.499122503
CYP19A1,0.896793551,1.436396845,0.708976866,1.398753127,0.098662237
CYP26B1,20.37774678,16.66268325,29.33639687,86.98233347,99.56795963
CYP26C1,0.023724493,1.150442145,4.296681475,3.495210596,0.018419019
CYP27B1,1.0595841,2.71454129,1.766565736,0.752405841,1.398505491
DAB1,7.757971615,0.354491277,1.477762737,1.936112644,2.794180254
DACT1,44.32789632,21.36484666,11.98985169,11.02009071,33.68382808
DAG1,212.2734731,321.4120031,781.7744693,445.9832014,373.5259097
DBH,0,0.412088992,16.55071826,15.69149822,0.466185556
DCHS1,96.8026928,37.61474502,42.54231872,53.26182587,65.3587245
DCT,0,0.208458346,27.78716309,7.452418527,0.76492987
DDX3Y,42.10257873,34.71100221,35.14257213,35.34660734,44.04092723
DISP1,6.158907157,11.70076037,11.04458113,13.13263337,15.27901011
DLG3,12.36628983,9.131412079,8.82988446,6.576228387,9.418497003
DLL4,0.370011893,0.619990722,6.849791529,8.234188398,2.472164165
